mbl_cod,rsp_id,RespNum,Day,PingNum,SubjDay,timezone_offset,actual_start_local,SLEEP,HAPPY,EXCITED,CALM,RELAXED,PROUD,IRRITABLE,ANXIOUS,SAD,BORED,LONELY,NOSTALGIA,FATIGUE,PAIN,X_VID,MOOD,ARO,EMOT_EXP,DISTR_NO,WOND_NO,REAPPR_NO,ACCEPT_NO,SPIRIT_NO,AVOID_EXPRESS_NO,AVOID_SIT_NO,OTH_STRAT_NO,NONE_STRAT_NO,DISTR_YES,WOND_YES,REAPPR_YES,ACCEPT_YES,SPIRIT_YES,AVOID_EXPRESS_YES,AVOID_SIT_YES,OTH_STRAT_YES,NONE_STRAT_YES,FEEL_BETTER,GET_A_TASK_DONE,GET_ALONG,EXT_REWARD,RIGHT_WAY,HELP_OTH,BE_STR,OTH_MOTI,NONE_MOTI,ER_EFFECT,X3_DOT_UNDERSTAND,INTRODUCTION_1,INTRODUCTION_2,INTRODUCTION_3,INSTRUCTIONS_4,SYMBOLSEARCH_DONE,NONE_INT,DOT_INT,MATCH_INT,WORK,VISITING_FRIEND,HOSPITAL,PUBLIC_SPACE,IN_NATURE,SPIRITUAL_SETTING,CLASS,HOME,OTHER_WHERE,ALONE,PET,SIG_OTH,STRANGER,FAMILY,FRIENDS,CO_WORKER,ACT_CHECK,GAR_CHECK,LONGITUDE,LATITUDE,PositiveEmotAvg,NegativeEmotAvg,ThreeDot_Score,CorrMedMS,IncorrMedMS,AllMedMS,NumCorr,NumIncorr,OTHER_STRAT_NO,PERF_REFL,MORNING,AFTERNOON,EVENING,DOT_HUNT_COMPARISON,MATCH_ATTACK_COMPARISON,WORKOUT,PING_1,PING_2,PING_3,PING_4,PING_5,NONE_MISSED,PM2.5_mean,PM2.5_min,PM2.5_max,PM10_mean,PM10_min,PM10_max
13070572,63960,1,0,6,63960_0,-480,10-11-2024 19:00,,4,2,6,4,5,2,3,1,1,1,12,37,8,vid_9860163_1731294000.mp4,6,2,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,0,0,4.2,1.6,1,2178,,2178,12,0,,1,3,2,1,3,2,2,1,2,2,1,2,2,22.4,22.4,22.4,38,38,38
13070572,63960,2,1,1,63960_1,-480,11-11-2024 09:03,3,3,3,4,5,3,2,2,1,1,4,13,37,1,vid_9852145_1731344400.mp4,5,2,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,0,0,3.6,2,7,1468,2372,1609.5,11,1,,,,,,,,,,,,,,,35.1,35.1,35.1,58,58,58
13070572,63960,3,1,2,63960_1,-480,11-11-2024 11:02,,4,3,5,4,3,2,3,1,1,1,18,13,1,vid_9854132_1731351600.mp4,3,3,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,,,0,0,3.8,1.6,5,1319,1300,1309.5,9,3,,,,,,,,,,,,,,,,,,,,
13070572,63960,4,1,3,63960_1,-480,11-11-2024 13:00,,4,3,5,3,3,2,3,1,1,1,16,36,1,vid_9856003_1731358800.mp4,3,3,2,2,2,2,2,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,0,0,3.6,1.6,2,2406.5,1421.5,2007.5,10,2,,,,,,,,,,,,,,,28.8,28.8,28.8,45,45,45
13070572,63960,5,1,5,63960_1,-480,11-11-2024 17:38,,4,5,2,3,4,1,3,1,1,1,17,64,61,vid_9858003_1731373200.mp4,5,2,2,2,2,2,2,2,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,,,34.018337,-118.321704,3.6,1.4,2,1568.5,2208,1568.5,10,2,,,,,,,,,,,,,,,28.61948558,20.7,33.4,53.3624318,46,54
13070572,63960,6,1,6,63960_1,-480,11-11-2024 19:00,,5,4,5,4,4,1,3,1,1,1,28,64,11,vid_9860163_1731380400.mp4,6,3,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,0,0,4.4,1.4,4,1516.5,2288,1592.5,10,2,,1,2,1,3,3,2,2,2,2,1,2,2,2,29.37068966,29.3,33.4,53.96551724,52,54
13070572,63960,7,2,1,63960_2,-480,12-11-2024 09:02,3,4,4,2,4,4,2,2,1,1,1,27,41,7,vid_9852145_1731430800.mp4,6,3,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,1,34.025481,-118.30113,3.6,1.4,3,1636,1030,1562.5,11,1,,,,,,,,,,,,,,,11.40061511,11.4,12.1,22.99824253,21,23
13070572,63960,8,2,2,63960_2,-480,12-11-2024 11:00,,5,4,4,3,5,1,3,1,1,1,42,29,1,vid_9854132_1731438000.mp4,6,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,5,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,,,0,0,4.2,1.4,1,1401,,1401,12,0,,,,,,,,,,,,,,,11.59402985,8.8,13.6,19.1641791,18,20
13070572,63960,9,2,3,63960_2,-480,12-11-2024 13:00,,5,4,6,6,6,1,2,1,1,1,19,16,1,vid_9856003_1731445200.mp4,6,1,2,1,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,1,2,,,0,0,5.4,1.2,5,1519.5,1439,1519.5,10,2,,,,,,,,,,,,,,,8.267592593,6.9,8.3,23.67592593,10,24
13070572,63960,10,2,4,63960_2,-480,12-11-2024 15:17,,5,4,5,3,5,2,2,1,1,1,19,32,1,vid_9857003_1731452400.mp4,6,2,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,,,34.021322,-118.288842,4.4,1.4,2,1299,1402,1300,11,1,,,,,,,,,,,,,,,6.887387387,6.7,8.3,21.35135135,21,24
13070572,63960,11,2,5,63960_2,-480,12-11-2024 17:11,,5,5,5,4,6,1,2,1,1,1,18,42,1,vid_9858003_1731459600.mp4,6,5,2,2,1,2,2,2,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,,,0,0,5,1.2,7,1578,,1578,12,0,,,,,,,,,,,,,,,12.4,12.4,12.4,21,21,21
13070572,63960,12,2,6,63960_2,-480,12-11-2024 19:15,,6,6,6,4,2,2,2,1,1,1,13,62,25,vid_9860163_1731466800.mp4,6,3,2,1,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,,,34.021933,-118.376702,4.8,1.4,1,1626.5,1058.5,1426,10,2,,1,1,3,2,2,2,1,2,2,2,2,2,0,7.6,7.6,7.6,19,19,19
13070572,63960,13,3,1,63960_3,-480,13-11-2024 09:16,4,6,5,6,6,4,3,3,1,1,1,31,9,1,vid_9852145_1731517200.mp4,6,3,2,2,2,1,2,2,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,1,33.999839,-118.409157,5.4,1.8,0,1481,1335,1408,11,1,,,,,,,,,,,,,,,7.117062445,6.9,7.3,14.91468777,14,16
13070572,63960,14,3,2,63960_3,-480,13-11-2024 11:36,,5,5,5,5,4,2,2,1,1,1,18,5,16,vid_9854132_1731524400.mp4,6,6,2,1,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,,,34.021253,-118.288077,4.8,1.4,5,1687,,1687,12,0,,,,,,,,,,,,,,,8.094382022,7.6,13.1,22.07865169,15,29
13070572,63960,15,3,3,63960_3,-480,13-11-2024 13:21,,5,5,5,4,6,3,4,2,1,2,16,58,7,vid_9856003_1731531600.mp4,3,3,2,1,2,1,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,,,0,0,5,2.4,0,1469,1315,1461.5,11,1,,,,,,,,,,,,,,,12.63211009,12.6,13.1,38.35779817,29,39
13070572,63960,16,3,4,63960_3,-480,13-11-2024 15:00,,6,4,7,6,4,2,2,1,3,1,17,45,1,vid_9857003_1731538800.mp4,4,2,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,,,0,0,5.4,1.8,3,1563,,1563,12,0,,,,,,,,,,,,,,,6.13164557,5.7,12.6,36.25316456,36,39
13070572,63960,17,3,5,63960_3,-480,13-11-2024 17:33,,6,5,6,5,5,1,3,1,1,1,21,20,1,vid_9858003_1731546000.mp4,6,1,2,1,2,2,2,2,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,0,0,5.4,1.4,3,1349,1200,1302,9,3,,,,,,,,,,,,,,,5.669732938,4,5.7,27.76854599,15,28
13070572,63960,18,3,6,63960_3,-480,13-11-2024 19:11,,6,5,6,7,5,1,2,1,1,1,51,63,8,vid_9860163_1731553200.mp4,7,1,2,1,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,0,0,5.8,1.2,6,1197,1335,1258,11,1,,1,2,1,3,2,3,2,2,2,2,2,2,0,3.15,2.3,4,12,9,15
13070572,63960,19,4,1,63960_4,-480,14-11-2024 09:15,4,6,5,6,6,5,2,3,1,1,1,43,11,1,vid_9852145_1731603600.mp4,6,2,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,34.024457,-118.285838,5.6,1.6,3,,,,0,0,,,,,,,,,,,,,,,15.44737268,12.4,15.6,45.1414713,28,46
13070572,63960,20,4,2,63960_4,-480,14-11-2024 11:23,,6,6,5,6,4,3,2,1,1,1,16,64,1,vid_9854132_1731610800.mp4,7,2,2,1,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,,,0,0,5.4,1.6,1,1472,1175,1429,10,2,,,,,,,,,,,,,,,11.37720588,10.5,13.1,32.13970588,27,35
13070572,63960,21,4,3,63960_4,-480,14-11-2024 13:00,,6,2,6,6,3,2,1,1,3,1,48,45,1,vid_9856003_1731618000.mp4,5,2,2,1,2,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,,,0,0,4.6,1.6,0,1245,1036,1174,9,3,,,,,,,,,,,,,,,12.55075758,9.3,13.1,32.97727273,27,38
13070572,63960,22,4,4,63960_4,-480,14-11-2024 15:11,,6,4,7,7,5,3,4,2,1,2,13,23,15,vid_9857003_1731625200.mp4,4,2,2,1,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,,,34.019081,-118.284451,5.8,2.4,7,1509,1177,1360.5,10,2,,,,,,,,,,,,,,,11.77588652,9.8,12.6,46.25531915,38,47
